cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label
chromatic_aberration,0.3718382091612354,0.00790003200729675,0.021245885475613294,0.006166863170093549,0.009478790939539093,1712,428,4,0.1445946451043253,physics_optics,minimal fringing
color_harmony,0.36863980133707647,0.00969963076970286,0.026311946606204145,0.007511763461690177,0.011749940576905721,1712,428,4,0.1460273217397997,tone_color,harmonious palette
color_uniformity,0.3409170783240458,0.008445868266626433,0.024773966467583456,0.006530178313088289,0.01038638261204522,1712,428,4,0.0908031577138563,tone_color,even color mapping
onion_ring_bokeh,0.3321382259081757,0.007359059608346644,0.022156617439093446,0.005605161057368229,0.009113063668326048,1712,428,4,0.1135390520431478,physics_optics,clean bokeh disks
shadow_color,0.32725134380909926,0.008237527991194473,0.02517186910621153,0.006299619540441964,0.010081254055417344,1712,428,4,0.1629725475224603,tone_color,neutral shadow color
denoising_artifacts,0.31871331663933505,0.00637887469623465,0.020014459274863512,0.0048443455327453686,0.00786309484484528,1712,428,4,0.1046702931849154,detail_texture,texture preserved
highlight_rolloff,0.3157217560819142,0.009712185313701752,0.030761850036023237,0.0072587391277639125,0.012331724365003804,1712,428,4,0.029530475753214,tone_color,smooth highlight rolloff
hands_correctness,0.31283641970456544,0.007844507841823181,0.025075430313488852,0.005836368384117466,0.009923618915803392,1712,428,4,0.0447835381681373,other,correct finger count
rule_of_thirds,0.3120417557308926,0.009528538106853002,0.03053609951826605,0.006983496659534458,0.012056015959110036,1712,428,4,-0.0206326144244056,detail_texture,good thirds placement
band_limited_edges,0.30867136989198274,0.006268977861664608,0.020309554021347657,0.004609390397892584,0.007969462647432627,1712,428,4,0.011430316932261,other,well sampled edges
reflection_blur,0.2867597010188522,0.006446761960445673,0.022481408432009246,0.00475146923960274,0.008254063067793607,1712,428,4,0.1019455905852036,other,"blur matches surface
roughness"
field_curvature,0.28395121843576854,0.006531483704386319,0.02300213304372131,0.0046220437401755686,0.008559287599941333,1712,428,4,0.070529885906522,physics_optics,minimal field curvature
white_balance,0.2788539137465414,0.0070623060797695356,0.025326185976319755,0.005079537951297625,0.009096911691913671,1712,428,4,0.1152520690527582,tone_color,accurate white balance
